sentence_id,token,label
s001,Le,O
s001,procureur,B-TITLE
s001,general,I-TITLE
s001,du,O
s001,Roy,B-TITLE
s001,a,O
s001,dit,O
s001,a,O
s001,la,O
s001,cour,B-ORG
s001,que,O
s001,les,O
s001,officiers,B-TITLE
s001,de,O
s001,Corbeil,B-LOC
s001,devoient,O
s001,donner,O
s001,advis,O
s001,sur,O
s001,les,O
s001,lettres,O
s001,du,O
s001,Parlement,B-ORG
s001,de,I-ORG
s001,Paris,I-ORG
s002,Le,O
s002,sieur,B-TITLE
s002,de,O
s002,Aoudes,B-PER
s002,grand,O
s002,maistre,B-TITLE
s002,des,O
s002,ceremonies,O
s002,demandoit,O
s002,a,O
s002,parler,O
s002,a,O
s002,la,O
s002,cour,B-ORG
s002,de,O
s002,la,O
s002,part,O
s002,du,O
s002,Roy,B-TITLE
s002,le,O
s002,dix,O
s002,huit,O
s002,aoust,B-DATE
s002,1643,I-DATE
s003,Robert,B-PER
s003,Miron,I-PER
s003,conseiller,B-TITLE
s003,et,O
s003,maitre,B-TITLE
s003,ordinaire,I-TITLE
s003,en,O
s003,sa,O
s003,chambre,B-ORG
s003,des,I-ORG
s003,comptes,I-ORG
s003,a,O
s003,Paris,B-LOC
s003,obtint,O
s003,confirmation,O
s003,du,O
s003,fief,O
s003,du,O
s003,Tremblay,B-LOC
s004,La,O
s004,justice,O
s004,moyenne,O
s004,et,O
s004,la,O
s004,basse,O
s004,justice,O
s004,releveront,O
s004,devant,O
s004,les,O
s004,prevosts,B-TITLE
s004,de,O
s004,Corbeil,B-LOC
s004,selon,O
s004,la,O
s004,coustume,O
s004,de,O
s004,la,O
s004,ville,B-LOC
s004,de,I-LOC
s004,Paris,I-LOC
s005,Ladite,O
s005,cour,B-ORG
s005,a,O
s005,ordonne,O
s005,que,O
s005,les,O
s005,lettres,O
s005,seront,O
s005,communiquees,O
s005,aux,O
s005,officiers,B-TITLE
s005,de,O
s005,Corbeil,B-LOC
s005,et,O
s005,autres,O
s005,ayant,O
s005,interest,O
s005,pour,O
s005,donner,O
s005,advis,O
s006,Les,O
s006,gens,B-ORG
s006,du,I-ORG
s006,Roy,B-TITLE
s006,sont,O
s006,entres,O
s006,en,O
s006,la,O
s006,grand,O
s006,chambre,B-ORG
s006,du,O
s006,Parlement,B-ORG
s006,de,I-ORG
s006,Paris,I-ORG
s006,le,O
s006,dix,O
s006,neuf,O
s006,aoust,B-DATE
s006,1643,I-DATE
s007,Le,O
s007,chancelier,B-TITLE
s007,et,O
s007,les,O
s007,gardes,B-TITLE
s007,des,I-TITLE
s007,seaux,I-TITLE
s007,avoient,O
s007,pratique,O
s007,l,O
s007,usage,O
s007,ancien,O
s007,dans,O
s007,les,O
s007,registres,O
s007,de,O
s007,la,O
s007,cour,B-ORG
s008,Messieurs,B-TITLE
s008,des,O
s008,Thelis,B-PER
s008,et,O
s008,Gon,B-PER
s008,ner,O
s008,aubans,O
s008,regardant,O
s008,les,O
s008,presidens,B-TITLE
s008,ont,O
s008,dit,O
s008,avoir,O
s008,charge,O
s008,du,O
s008,Roy,B-TITLE
s009,La,O
s009,ville,B-LOC
s009,et,I-LOC
s009,chasteau,I-LOC
s009,de,I-LOC
s009,Thionvilles,I-LOC
s009,furent,O
s009,mentionnes,O
s009,dans,O
s009,les,O
s009,lettres,O
s009,presentees,O
s009,a,O
s009,Notre-Dame,B-LOC
s009,de,I-LOC
s009,Paris,I-LOC
s010,Le,O
s010,Parlement,B-ORG
s010,de,I-ORG
s010,Paris,I-ORG
s010,conserve,O
s010,les,O
s010,actes,O
s010,de,O
s010,justice,O
s010,du,O
s010,Roy,B-TITLE
s010,et,O
s010,de,O
s010,la,O
s010,Reyne,B-TITLE
s010,regente,I-TITLE
s011,Le,O
s011,sieur,B-TITLE
s011,du,O
s011,Tremblay,B-LOC
s011,doit,O
s011,faire,O
s011,foy,O
s011,et,O
s011,hommage,O
s011,au,O
s011,Roy,B-TITLE
s011,pour,O
s011,son,O
s011,fief,O
s011,et,O
s011,seigneurie,O
s012,Aoust,B-DATE
s012,1643,I-DATE
s012,du,O
s012,matin,O
s012,la,O
s012,cour,B-ORG
s012,ordonne,O
s012,communication,O
s012,aux,O
s012,officiers,B-TITLE
s012,du,O
s012,bailliage,B-ORG
s012,de,O
s012,Corbeil,B-LOC
